Users of this data file should acknowledge the National Park Service.
NOTE: There are two parts to this file. Part I contains information on the sites selected.
Part II contains the actual data and begins on line 12.

Part I - Site Information
ABBR,AIRS_SITE_CODE,TIME_ZONE,LONG_DEC,LAT_DEC,ELEV_mMSL,SITE_NAME
GRSM-CC,47-009-0102,EST,83.7831,35.6042,564,Great Smoky Mountains National Park - Cades Cove
GRSM-CD,47-155-0102,EST,83.4981,35.5619,2021,Great Smoky Mountains National Park - Clingmans Dome
GRSM-CM,47-155-0101,EST,83.6086,35.6967,1243,Great Smoky Mountains National Park - Cove Mountain
GRSM-LR,47-009-0101,EST,83.9422,35.6331,793,Great Smoky Mountains National Park - Look Rock

Part II - Data
DATE_TIME,GRSM-CC_O3_PPB,GRSM-CD_O3_PPB,GRSM-CM_O3_PPB,GRSM-LR_O3_PPB,
9/1/2019 12:00:00 AM,41,52,57,58,
9/1/2019 1:00:00 AM,47,54,58,56,
9/1/2019 2:00:00 AM,48,52,59,56,
9/1/2019 3:00:00 AM,47,49,56,56,
9/1/2019 4:00:00 AM,38,46,53,56,
9/1/2019 5:00:00 AM,38,46,51,54,
9/1/2019 6:00:00 AM,33,46,52,52,
9/1/2019 7:00:00 AM,25,42,51,49,
9/1/2019 8:00:00 AM,32,40,47,43,
9/1/2019 9:00:00 AM,41,40,42,36,
9/1/2019 10:00:00 AM,43,38,43,38,
9/1/2019 11:00:00 AM,38,35,40,39,
9/1/2019 12:00:00 PM,38,37,44,43,
9/1/2019 1:00:00 PM,36,38,44,46,
9/1/2019 2:00:00 PM,42,38,45,45,
9/1/2019 3:00:00 PM,38,36,45,43,
9/1/2019 4:00:00 PM,39,38,47,42,
9/1/2019 5:00:00 PM,35,35,47,43,
9/1/2019 6:00:00 PM,20,33,50,46,
9/1/2019 7:00:00 PM,22,30,51,48,
9/1/2019 8:00:00 PM,21,31,47,46,
9/1/2019 9:00:00 PM,17,32,36,42,
9/1/2019 10:00:00 PM,24,39,38,39,
9/1/2019 11:00:00 PM,44,41,43,37,
9/2/2019 12:00:00 AM,43,41,45,41,
9/2/2019 1:00:00 AM,42,44,44,45,
9/2/2019 2:00:00 AM,27,40,44,45,
9/2/2019 3:00:00 AM,21,39,43,44,
9/2/2019 4:00:00 AM,14,34,43,47,
9/2/2019 5:00:00 AM,8,34,42,44,
9/2/2019 6:00:00 AM,3,33,42,45,
9/2/2019 7:00:00 AM,7,35,42,41,
9/2/2019 8:00:00 AM,25,37,42,36,
9/2/2019 9:00:00 AM,31,37,44,33,
9/2/2019 10:00:00 AM,32,36,39,38,
9/2/2019 11:00:00 AM,35,36,38,41,
9/2/2019 12:00:00 PM,38,37,38,43,
