blank: Wavelength (nm),blank: Fluorescence 405 nm (rel),blank: Wavelength (nm),blank: Fluorescence 405 nm (rel),blank: Wavelength (nm),blank: Fluorescence 405 nm (rel),low std: Wavelength (nm),low std: Fluorescence 405 nm (rel),med: Wavelength (nm),med: Fluorescence 405 nm (rel),hi: Wavelength (nm),hi: Fluorescence 405 nm (rel),QC: Wavelength (nm),QC: Fluorescence 405 nm (rel),QC2: Wavelength (nm),QC2: Fluorescence 405 nm (rel),QC3: Wavelength (nm),QC3: Fluorescence 405 nm (rel),tonic1: Wavelength (nm),tonic1: Fluorescence 405 nm (rel),tonic2: Wavelength (nm),tonic2: Fluorescence 405 nm (rel),tonic3: Wavelength (nm),tonic3: Fluorescence 405 nm (rel)
380.8,0.053048742,380.8,0.05879338,380.8,0.057648814,380.8,0.055229213,380.8,0.058928533,380.8,0.054647484,380.8,0.031597077,380.8,0.030671462,380.8,0.030048284,380.8,0.017611391,380.8,0.018047982,380.8,0.014887764
381.7,0.053581854,381.7,0.060285288,381.7,0.057022595,381.7,0.056020296,381.7,0.060991773,381.7,0.056474218,381.7,0.032324718,381.7,0.032117787,381.7,0.031387275,381.7,0.018254006,381.7,0.018187615,381.7,0.015116263
382.5,0.055973441,382.5,0.058304145,382.5,0.056529802,382.5,0.058233029,382.5,0.063487842,382.5,0.060370302,382.5,0.034701448,382.5,0.034057515,382.5,0.033336355,382.5,0.019950201,382.5,0.01916603,382.5,0.015946276
383.4,0.055772241,383.4,0.062241216,383.4,0.05753334,383.4,0.060745435,383.4,0.065869895,383.4,0.063503508,383.4,0.035998627,383.4,0.034902647,383.4,0.034993459,383.4,0.020681732,383.4,0.019849377,383.4,0.016743933
384.3,0.056708434,384.3,0.064333024,384.3,0.061340264,384.3,0.063158481,384.3,0.067834916,384.3,0.066967001,384.3,0.036590158,384.3,0.0354808,384.3,0.035356107,384.3,0.02160603,384.3,0.02042704,384.3,0.017262312
385.1,0.05632774,385.1,0.056396788,385.1,0.063312077,385.1,0.064346025,385.1,0.071047612,385.1,0.069737851,385.1,0.037516376,385.1,0.03617022,385.1,0.036416436,385.1,0.022005795,385.1,0.020785496,385.1,0.017878345
386,0.057436836,386,0.059599333,386,0.062864857,386,0.065183247,386,0.074270125,386,0.074024233,386,0.038709222,386,0.037594042,386,0.037620321,386,0.023099108,386,0.021282178,386,0.018299999
386.8,0.057874445,386.8,0.065393626,386.8,0.060238088,386.8,0.065514468,386.8,0.076581102,386.8,0.077598634,386.8,0.040076918,386.8,0.037926031,386.8,0.038808005,386.8,0.023615187,386.8,0.022344615,386.8,0.019275605
387.7,0.058577628,387.7,0.066342396,387.7,0.067493028,387.7,0.066364296,387.7,0.077509826,387.7,0.080802278,387.7,0.040999139,387.7,0.038399173,387.7,0.039272509,387.7,0.024030047,387.7,0.022758467,387.7,0.019805272
388.6,0.059888284,388.6,0.061225849,388.6,0.066764315,388.6,0.067513345,388.6,0.078834315,388.6,0.084610242,388.6,0.042091613,388.6,0.03837741,388.6,0.039096175,388.6,0.025917296,388.6,0.023891244,388.6,0.021260297
389.4,0.06056428,389.4,0.062477605,389.4,0.06829251,389.4,0.068258111,389.4,0.0800071,389.4,0.088062004,389.4,0.043269121,389.4,0.040104789,389.4,0.040162515,389.4,0.026379049,389.4,0.024977245,389.4,0.021715539
390.3,0.060609185,390.3,0.069715669,390.3,0.069976124,390.3,0.070031606,390.3,0.082404806,390.3,0.091797924,390.3,0.044531178,390.3,0.041765609,390.3,0.041314136,390.3,0.027056434,390.3,0.026175891,390.3,0.022422915
391.2,0.059227222,391.2,0.065073697,391.2,0.063532247,391.2,0.070452407,391.2,0.083674749,391.2,0.094083611,391.2,0.045751829,391.2,0.0429083,391.2,0.042812303,391.2,0.026979437,391.2,0.026326806,391.2,0.022928171
392,0.05908094,392,0.064219128,392,0.065645261,392,0.07128104,392,0.08591157,392,0.096994855,392,0.04679777,392,0.043589095,392,0.043265113,392,0.028544089,392,0.026824908,392,0.024440382
392.9,0.05906994,392.9,0.060262374,392.9,0.067479175,392.9,0.071582053,392.9,0.087487875,392.9,0.101097436,392.9,0.046980492,392.9,0.045222801,392.9,0.044039361,392.9,0.029513942,392.9,0.02793985,392.9,0.025096895
393.8,0.060360899,393.8,0.062383532,393.8,0.065662745,393.8,0.073681121,393.8,0.090622433,393.8,0.105486558,393.8,0.047952545,393.8,0.047127636,393.8,0.046100464,393.8,0.03010727,393.8,0.029950779,393.8,0.026136248
394.6,0.060594573,394.6,0.060725504,394.6,0.061650709,394.6,0.074877716,394.6,0.093394635,394.6,0.110221197,394.6,0.049388134,394.6,0.048645275,394.6,0.047940373,394.6,0.030449401,394.6,0.031446912,394.6,0.026996965
395.5,0.06143001,395.5,0.062916966,395.5,0.069865124,395.5,0.075271526,395.5,0.095570709,395.5,0.114769108,395.5,0.0514614,395.5,0.049207017,395.5,0.049212347,395.5,0.031308251,395.5,0.032629113,395.5,0.028703831
396.4,0.062537996,396.4,0.071262361,396.4,0.066107045,396.4,0.075284689,396.4,0.097131332,396.4,0.120244134,396.4,0.052167038,396.4,0.050723239,396.4,0.049403036,396.4,0.032256834,396.4,0.033267673,396.4,0.029166255
397.2,0.062926157,397.2,0.072849838,397.2,0.067646839,397.2,0.075929994,397.2,0.099016788,397.2,0.125555377,397.2,0.052908216,397.2,0.05121262,397.2,0.049873952,397.2,0.033201647,397.2,0.034041296,397.2,0.029559395
398.1,0.063264406,398.1,0.070136046,398.1,0.072192559,398.1,0.078036429,398.1,0.101699335,398.1,0.131840759,398.1,0.053658121,398.1,0.052125808,398.1,0.051452966,398.1,0.033727919,398.1,0.035154049,398.1,0.030206838
398.9,0.062636344,398.9,0.070809405,398.9,0.071002273,398.9,0.08018448,398.9,0.105361146,398.9,0.137562913,398.9,0.055659361,398.9,0.05344149,398.9,0.053567446,398.9,0.034649612,398.9,0.03684432,398.9,0.031333316
399.8,0.063988773,399.8,0.073209078,399.8,0.065414902,399.8,0.082354919,399.8,0.109018354,399.8,0.144936212,399.8,0.058112977,399.8,0.055633819,399.8,0.056061476,399.8,0.035901987,399.8,0.03840519,399.8,0.033208914
400.7,0.064923515,400.7,0.070834294,400.7,0.073447031,400.7,0.08407333,400.7,0.112327046,400.7,0.152259133,400.7,0.060367804,400.7,0.057750741,400.7,0.057770944,400.7,0.037754415,400.7,0.03964601,400.7,0.034114394
