"blank: Wavelength (nm)","blank: Fluorescence 405 nm (rel)","low std: Wavelength (nm)","low std: Fluorescence 405 nm (rel)","med: Wavelength (nm)","med: Fluorescence 405 nm (rel)","hi: Wavelength (nm)","hi: Fluorescence 405 nm (rel)","QC: Wavelength (nm)","QC: Fluorescence 405 nm (rel)","QC2: Wavelength (nm)","QC2: Fluorescence 405 nm (rel)","QC3: Wavelength (nm)","QC3: Fluorescence 405 nm (rel)","tonic1: Wavelength (nm)","tonic1: Fluorescence 405 nm (rel)","tonic2: Wavelength (nm)","tonic2: Fluorescence 405 nm (rel)","tonic3: Wavelength (nm)","tonic3: Fluorescence 405 nm (rel)"
380.8,0.0530487424572,380.8,0.055229212864,380.8,0.0589285333695,380.8,0.0546474838619,380.8,0.0315970768935,380.8,0.0306714622371,380.8,0.0300482838994,380.8,0.0176113911665,380.8,0.0180479821169,380.8,0.014887764483
381.7,0.0535818540326,381.7,0.056020295674,381.7,0.0609917733,381.7,0.0564742177451,381.7,0.0323247178811,381.7,0.0321177873067,381.7,0.0313872748638,381.7,0.0182540055146,381.7,0.018187615107,381.7,0.0151162632044
382.5,0.0559734413617,382.5,0.0582330291842,382.5,0.0634878419933,382.5,0.060370301521,382.5,0.0347014483941,382.5,0.0340575151398,382.5,0.0333363552453,382.5,0.0199502008089,382.5,0.0191660299066,382.5,0.0159462764223
383.4,0.0557722406369,383.4,0.0607454347724,383.4,0.0658698948244,383.4,0.0635035079255,383.4,0.0359986274406,383.4,0.0349026474283,383.4,0.0349934593193,383.4,0.0206817321064,383.4,0.0198493770073,383.4,0.0167439331049
384.3,0.0567084341658,384.3,0.0631584812045,384.3,0.0678349158282,384.3,0.0669670010449,384.3,0.0365901581439,384.3,0.035480799616,384.3,0.0353561074905,384.3,0.0216060302124,384.3,0.0204270395528,384.3,0.0172623115259
385.1,0.0563277396301,385.1,0.0643460253958,385.1,0.0710476117411,385.1,0.0697378510455,385.1,0.0375163763727,385.1,0.0361702201012,385.1,0.0364164357359,385.1,0.0220057951008,385.1,0.0207854959528,385.1,0.0178783447763
386,0.0574368364257,386,0.0651832468389,386,0.0742701252557,386,0.0740242331017,386,0.0387092220296,386,0.0375940423994,386,0.0376203209502,386,0.0230991080702,386,0.021282177638,386,0.0182999986424
386.8,0.0578744453989,386.8,0.0655144682075,386.8,0.0765811022356,386.8,0.0775986339308,386.8,0.0400769180093,386.8,0.0379260305494,386.8,0.0388080048621,386.8,0.0236151874737,386.8,0.0223446153312,386.8,0.0192756049232
387.7,0.0585776278236,387.7,0.0663642957058,387.7,0.0775098258992,387.7,0.0808022776761,387.7,0.0409991392828,387.7,0.0383991734181,387.7,0.0392725090559,387.7,0.0240300470773,387.7,0.0227584665463,387.7,0.0198052717389
388.6,0.059888283543,388.6,0.0675133445554,388.6,0.0788343146171,388.6,0.0846102422281,388.6,0.0420916134677,388.6,0.0383774100003,388.6,0.0390961754144,388.6,0.0259172958702,388.6,0.0238912436585,388.6,0.0212602967774
